Time Period,美国2a-VIP,日本2a-VIP,美国3a-VIP,香港g1a-VIP,印度a-VIP,美国1b-VIP
Total Traffic,280.84,302.13,1265.77,938.88,4563.29,4991.91
2024-01-31 12:00,0.00,2.56,4.29,8.82,37.60,0.00
2024-01-31 15:00,0.00,299.37,16.48,52.64,210.62,0.00
2024-01-31 18:00,0.00,0.20,29.72,20.30,474.24,167.82
2024-01-31 21:00,0.00,0.00,331.55,0.00,165.12,0.00
2024-02-01 00:00,20.29,0.00,62.20,0.00,0.00,0.00
2024-02-01 03:00,0.00,0.00,0.02,0.00,0.00,0.00
2024-02-01 09:00,0.00,0.00,41.94,15.64,15.30,117.13
2024-02-01 12:00,23.07,0.00,120.94,52.57,9.04,22.30
2024-02-01 15:00,26.26,0.00,0.08,68.54,0.00,34.36
2024-02-01 18:00,49.65,0.00,0.07,279.14,1030.85,14.03
2024-02-01 21:00,139.93,0.00,132.78,72.05,638.01,55.76
2024-02-02 00:00,8.26,0.00,25.26,31.90,0.00,2235.46
2024-02-02 03:00,0.20,0.00,0.00,0.00,0.00,0.00
2024-02-02 06:00,0.84,0.00,0.87,0.04,0.00,0.37
2024-02-02 09:00,2.57,0.00,12.16,7.27,18.79,25.15
2024-02-02 12:00,6.05,0.00,118.72,14.03,155.72,15.83
2024-02-02 15:00,0.03,0.00,207.64,234.04,88.07,11.84
2024-02-02 18:00,3.69,0.00,23.81,0.72,210.26,0.70
2024-02-02 21:00,0.00,0.00,109.57,3.21,0.00,269.72
2024-02-03 00:00,0.00,0.00,5.24,18.88,0.00,1.28
2024-02-03 03:00,0.00,0.00,0.06,19.51,0.00,1.44
2024-02-03 06:00,0.00,0.00,0.00,20.05,0.00,1.72
2024-02-03 09:00,0.00,0.00,3.39,19.22,1509.33,2013.05
2024-02-03 12:00,0.00,0.00,18.98,0.31,0.34,3.95
