node_name,rate,origin_traffic,traffic,log_time
美国2b-付费节点,1,21311084,20.32MB,2024-05-24 00:03:35
美国2b-付费节点,1,570067,556.71KB,2024-05-24 00:06:36
美国2b-付费节点,1,6089357,5.81MB,2024-05-24 00:09:38
美国2b-付费节点,1,23698665,22.6MB,2024-05-24 00:12:39
美国2b-付费节点,1,3618613,3.45MB,2024-05-24 00:15:41
美国2b-付费节点,1,430724,420.63KB,2024-05-24 00:18:42
美国2b-付费节点,1,498801,487.11KB,2024-05-24 00:21:43
美国2b-付费节点,1,837252,817.63KB,2024-05-24 00:24:44
美国2b-付费节点,1,739643,722.31KB,2024-05-24 00:27:45
美国2b-付费节点,1,478829,467.61KB,2024-05-24 00:30:47
美国2b-付费节点,1,362109,353.62KB,2024-05-24 00:33:48
美国2b-付费节点,1,465115,454.21KB,2024-05-24 00:36:49
美国2b-付费节点,1,378458,369.59KB,2024-05-24 00:39:51
美国2b-付费节点,1,390154,381.01KB,2024-05-24 00:42:52
美国2b-付费节点,1,61177,59.74KB,2024-05-24 00:57:58
美国2b-付费节点,1,24012,23.45KB,2024-05-24 01:01:00
美国2b-付费节点,1,30611,29.89KB,2024-05-24 01:16:09
美国2b-付费节点,1,20721,20.24KB,2024-05-24 01:19:10
美国2b-付费节点,1,26651,26.03KB,2024-05-24 02:46:37
美国2b-付费节点,1,26341,25.72KB,2024-05-24 04:47:08
美国2b-付费节点,1,105956,103.47KB,2024-05-24 04:50:09
美国2b-付费节点,1,125557,122.61KB,2024-05-24 05:05:12
美国2b-付费节点,1,87884,85.82KB,2024-05-24 05:08:13
美国2b-付费节点,1,1689751,1.61MB,2024-05-24 06:41:36
美国2b-付费节点,1,1283551,1.22MB,2024-05-24 06:44:37
美国2b-付费节点,1,6056,5.91KB,2024-05-24 08:42:08
美国2b-付费节点,1,3502861,3.34MB,2024-05-24 08:45:09
美国2b-付费节点,1,92783,90.61KB,2024-05-24 09:00:14
台湾2a-付费节点,1,1150697,1.1MB,2024-05-24 09:00:59
美国2b-付费节点,1,570638,557.26KB,2024-05-24 09:03:15
台湾2a-付费节点,1,153329,149.74KB,2024-05-24 09:04:01
台湾2a-付费节点,1,166234,162.34KB,2024-05-24 09:07:03
台湾2a-付费节点,1,47994,46.87KB,2024-05-24 09:10:05
台湾2a-付费节点,1,46186,45.1KB,2024-05-24 09:13:07
台湾2a-付费节点,1,175796,171.68KB,2024-05-24 09:16:10
台湾2a-付费节点,1,45390,44.33KB,2024-05-24 09:19:12
台湾2a-付费节点,1,31302,30.57KB,2024-05-24 09:22:14
台湾2a-付费节点,1,380228,371.32KB,2024-05-24 09:25:16
台湾2a-付费节点,1,241404,235.75KB,2024-05-24 09:28:18
台湾2a-付费节点,1,235309,229.79KB,2024-05-24 09:31:20
台湾2a-付费节点,1,66161,64.61KB,2024-05-24 09:34:28
台湾2a-付费节点,1,48640,47.5KB,2024-05-24 09:37:30
台湾2a-付费节点,1,27345749,26.08MB,2024-05-24 09:40:32
美国2b-付费节点,1,11054,10.79KB,2024-05-24 09:42:28
台湾2a-付费节点,1,13866117,13.22MB,2024-05-24 09:43:34
美国2b-付费节点,1,269185,262.88KB,2024-05-24 09:45:29
台湾2a-付费节点,1,14292858,13.63MB,2024-05-24 09:46:36
美国2b-付费节点,1,43412,42.39KB,2024-05-24 09:48:30
台湾2a-付费节点,1,14234269,13.57MB,2024-05-24 09:49:39
台湾2a-付费节点,1,13863943,13.22MB,2024-05-24 09:52:41
台湾2a-付费节点,1,14133926,13.48MB,2024-05-24 09:55:43
台湾2a-付费节点,1,14063533,13.41MB,2024-05-24 09:58:45
台湾2a-付费节点,1,14344352,13.68MB,2024-05-24 10:01:52
台湾2a-付费节点,1,13887555,13.24MB,2024-05-24 10:04:55
台湾2a-付费节点,1,13951073,13.3MB,2024-05-24 10:07:57
台湾2a-付费节点,1,12973376,12.37MB,2024-05-24 10:10:59
台湾2a-付费节点,1,15097260,14.4MB,2024-05-24 10:14:02
美国2b-付费节点,1,2907241,2.77MB,2024-05-24 10:15:40
台湾2a-付费节点,1,14232430,13.57MB,2024-05-24 10:17:04
