node_name,rate,origin_traffic,traffic,log_time
美国5a-付费节点,1,432884,422.74KB,2024-04-25 00:10:03
美国5a-付费节点,1,443676,433.28KB,2024-04-25 00:13:05
美国5a-付费节点,1,680835,664.88KB,2024-04-25 00:16:07
美国5a-付费节点,1,554155,541.17KB,2024-04-25 00:19:09
美国5a-付费节点,1,142783,139.44KB,2024-04-25 00:34:17
美国5a-付费节点,1,16940,16.54KB,2024-04-25 00:37:19
美国5a-付费节点,1,335196,327.34KB,2024-04-25 00:52:27
美国5a-付费节点,1,51112,49.91KB,2024-04-25 01:07:33
美国5a-付费节点,1,454683,444.03KB,2024-04-25 01:10:35
美国5a-付费节点,1,303755,296.64KB,2024-04-25 01:25:42
美国5a-付费节点,1,15759,15.39KB,2024-04-25 01:28:43
美国5a-付费节点,1,333506,325.69KB,2024-04-25 01:43:50
美国5a-付费节点,1,283274,276.63KB,2024-04-25 01:49:53
美国5a-付费节点,1,446478,436.01KB,2024-04-25 02:05:00
美国5a-付费节点,1,335536,327.67KB,2024-04-25 02:20:08
美国5a-付费节点,1,55230,53.94KB,2024-04-25 02:23:09
美国5a-付费节点,1,413860,404.16KB,2024-04-25 02:38:15
美国5a-付费节点,1,127591,124.6KB,2024-04-25 02:41:16
美国5a-付费节点,1,304534,297.4KB,2024-04-25 02:56:23
美国5a-付费节点,1,335460,327.6KB,2024-04-25 03:14:29
美国5a-付费节点,1,290961,284.14KB,2024-04-25 03:29:35
美国5a-付费节点,1,466903,455.96KB,2024-04-25 03:44:41
美国5a-付费节点,1,45699,44.63KB,2024-04-25 03:59:48
美国5a-付费节点,1,98450,96.14KB,2024-04-25 04:02:49
美国5a-付费节点,1,300147,293.11KB,2024-04-25 04:17:56
美国5a-付费节点,1,167889,163.95KB,2024-04-25 04:20:58
美国5a-付费节点,1,306175,299KB,2024-04-25 04:36:05
美国5a-付费节点,1,439096,428.8KB,2024-04-25 04:54:13
美国5a-付费节点,1,53648,52.39KB,2024-04-25 04:57:15
美国5a-付费节点,1,277837,271.33KB,2024-04-25 05:12:22
美国5a-付费节点,1,9851,9.62KB,2024-04-25 05:15:23
美国5a-付费节点,1,507372,495.48KB,2024-04-25 05:30:30
美国5a-付费节点,1,115087,112.39KB,2024-04-25 05:33:31
美国5a-付费节点,1,335580,327.71KB,2024-04-25 05:48:38
美国5a-付费节点,1,484844,473.48KB,2024-04-25 06:03:44
美国5a-付费节点,1,648686,633.48KB,2024-04-25 06:06:45
美国5a-付费节点,1,427598,417.58KB,2024-04-25 06:09:46
美国5a-付费节点,1,318673,311.2KB,2024-04-25 06:24:52
美国5a-付费节点,1,29090,28.41KB,2024-04-25 06:27:53
美国5a-付费节点,1,432482,422.35KB,2024-04-25 06:42:58
美国5a-付费节点,1,158902,155.18KB,2024-04-25 06:45:59
美国5a-付费节点,1,292790,285.93KB,2024-04-25 07:01:05
美国5a-付费节点,1,39534,38.61KB,2024-04-25 07:04:06
美国5a-付费节点,1,351467,343.23KB,2024-04-25 07:19:11
美国5a-付费节点,1,131959,128.87KB,2024-04-25 07:22:13
美国5a-付费节点,1,302118,295.04KB,2024-04-25 07:37:20
美国5a-付费节点,1,494833,483.24KB,2024-04-25 07:55:28
美国5a-付费节点,1,14188,13.86KB,2024-04-25 07:58:29
美国5a-付费节点,1,289049,282.27KB,2024-04-25 08:04:32
美国5a-付费节点,1,541495,528.8KB,2024-04-25 08:07:34
美国5a-付费节点,1,401375,391.97KB,2024-04-25 08:10:35
美国5a-付费节点,1,353667,345.38KB,2024-04-25 08:25:43
台湾2a-付费节点,1,1271184,1.21MB,2024-04-25 09:02:57
台湾2a-付费节点,1,132468,129.36KB,2024-04-25 09:05:59
台湾2a-付费节点,1,95684,93.44KB,2024-04-25 09:09:01
台湾2a-付费节点,1,1855342,1.77MB,2024-04-25 09:12:04
台湾2a-付费节点,1,16745446,15.97MB,2024-04-25 09:15:06
台湾2a-付费节点,1,112526368,107.31MB,2024-04-25 09:18:08
台湾2a-付费节点,1,68469,66.86KB,2024-04-25 09:21:10
台湾2a-付费节点,1,113738,111.07KB,2024-04-25 09:24:12
新加坡3a-付费节点,1,426,426B,2024-04-25 09:24:26
不限流量-美国1-付费节点,0,426,0B,2024-04-25 09:24:27
日本1a-付费节点,1,852,852B,2024-04-25 09:24:28
台湾3a-付费节点,1,852,852B,2024-04-25 09:24:36
土耳其b-付费节点,1,852,852B,2024-04-25 09:24:37
日本7a-付费节点,1,852,852B,2024-04-25 09:24:44
澳洲a-付费节点,1,852,852B,2024-04-25 09:24:50
不限流量-日本1-付费节点,0,426,0B,2024-04-25 09:24:55
泰国a-付费节点,1,852,852B,2024-04-25 09:24:59
阿联酋a-付费节点,1,852,852B,2024-04-25 09:25:11
新加坡3a-付费节点,1,426,426B,2024-04-25 09:25:27
不限流量-法国2-付费节点,0,426,0B,2024-04-25 09:25:45
不限流量-法国1-付费节点,0,426,0B,2024-04-25 09:25:53
bt下载a-付费节点,1,852,852B,2024-04-25 09:26:00
印尼a-付费节点,1,852,852B,2024-04-25 09:26:01
不限流量-美国2-付费节点,0,426,0B,2024-04-25 09:26:05
不限流量-美国3-付费节点,0,426,0B,2024-04-25 09:26:13
美国5a-付费节点,1,1679714,1.6MB,2024-04-25 09:26:14
法国2a-付费节点,1,852,852B,2024-04-25 09:26:18
日本6b-付费节点,1,852,852B,2024-04-25 09:26:41
新加坡1b-付费节点,1,852,852B,2024-04-25 09:26:43
美国3a-付费节点,1,426,426B,2024-04-25 09:26:57
日本4a-付费节点,1,852,852B,2024-04-25 09:26:59
不限流量-法国3-付费节点,0,426,0B,2024-04-25 09:27:01
日本2a-付费节点,1,852,852B,2024-04-25 09:27:03
香港g1a-付费节点,1,1704,1.66KB,2024-04-25 09:27:04
香港g2a-付费节点,1,852,852B,2024-04-25 09:27:12
台湾2a-付费节点,1,175479,171.37KB,2024-04-25 09:27:14
越南a-付费节点,1,852,852B,2024-04-25 09:27:15
印度a-付费节点,1,852,852B,2024-04-25 09:27:16
俄国a-付费节点,1,852,852B,2024-04-25 09:27:19
意大利a-付费节点,1,852,852B,2024-04-25 09:27:21
美国5a-付费节点,1,618542,604.04KB,2024-04-25 09:29:16
台湾2a-付费节点,1,74130,72.39KB,2024-04-25 09:30:17
美国5a-付费节点,1,549642,536.76KB,2024-04-25 09:32:17
台湾2a-付费节点,1,256260,250.25KB,2024-04-25 09:33:19
美国5a-付费节点,1,733726,716.53KB,2024-04-25 09:35:19
台湾2a-付费节点,1,155757,152.11KB,2024-04-25 09:36:21
美国5a-付费节点,1,739898,722.56KB,2024-04-25 09:38:20
台湾2a-付费节点,1,50535,49.35KB,2024-04-25 09:39:24
美国5a-付费节点,1,879683,859.07KB,2024-04-25 09:41:22
