node_name,rate,origin_traffic,traffic,log_time
新加坡3a-付费节点,1,426,426B,2024-11-19 00:01:38
韩国b-付费节点,1,426,426B,2024-11-19 00:01:39
俄国a-付费节点,1,426,426B,2024-11-19 00:01:41
香港t1a-付费节点,1,426,426B,2024-11-19 00:01:42
3倍率-dny-菲律宾a-付费节点,3,426,1.25KB,2024-11-19 00:01:43
dny-越南a-付费节点,1,426,426B,2024-11-19 00:01:44
香港t3a-付费节点,1,426,426B,2024-11-19 00:01:50
日本6a-付费节点,1,426,426B,2024-11-19 00:02:01
eu-法国1b-付费节点,1,426,426B,2024-11-19 00:02:18
台湾4a-付费节点,1,639,639B,2024-11-19 00:02:20
eu-英国a-付费节点,1,426,426B,2024-11-19 00:02:25
台湾3a-付费节点,1,213,213B,2024-11-19 00:02:25
日本3a-付费节点,1,426,426B,2024-11-19 00:02:26
美国1a-付费节点,1,213,213B,2024-11-19 00:02:27
eu-bt下载b-付费节点,1,426,426B,2024-11-19 00:02:28
新加坡2a-付费节点,1,426,426B,2024-11-19 00:02:31
台湾1a-付费节点,1,213,213B,2024-11-19 00:02:32
eu-法国2a-付费节点,1,426,426B,2024-11-19 00:02:34
dny-泰国b-付费节点,1,426,426B,2024-11-19 00:02:43
新疆专用-香港t1,1,213,213B,2024-11-19 00:02:44
香港g3b-付费节点,1,426,426B,2024-11-19 00:02:50
日本1a-付费节点,1,426,426B,2024-11-19 00:02:53
eu-意大利a-付费节点,1,426,426B,2024-11-19 00:02:53
美国5a-付费节点,1,426,426B,2024-11-19 00:02:54
eu-德国a-付费节点,1,426,426B,2024-11-19 00:02:56
台湾2a-付费节点,1,213,213B,2024-11-19 00:02:58
新加坡1b-付费节点,1,426,426B,2024-11-19 00:03:02
香港g2a-付费节点,1,213,213B,2024-11-19 00:03:02
香港g2b-付费节点,1,213,213B,2024-11-19 00:03:08
土耳其b-付费节点,1,426,426B,2024-11-19 00:03:09
美国1S-付费节点,1,213,213B,2024-11-19 00:03:13
美国3a-付费节点,1,99655,97.32KB,2024-11-19 00:03:14
美国2a-付费节点,1,213,213B,2024-11-19 00:03:17
加国a-付费节点,1,426,426B,2024-11-19 00:03:25
阿联酋a-付费节点,1,426,426B,2024-11-19 00:03:27
日本4a-付费节点,1,426,426B,2024-11-19 00:03:29
美国1b-付费节点,1,213,213B,2024-11-19 00:03:34
澳洲a-付费节点,1,426,426B,2024-11-19 00:03:38
台湾5a-付费节点,1,852,852B,2024-11-19 00:03:48
日本2a-付费节点,1,426,426B,2024-11-19 00:04:04
美国4a-付费节点,1,213,213B,2024-11-19 00:04:06
eu-乌克兰a-付费节点,1,426,426B,2024-11-19 00:04:09
香港g1a-付费节点,1,426,426B,2024-11-19 00:04:11
日本7a-付费节点,1,426,426B,2024-11-19 00:04:17
美国6a-付费节点,1,426,426B,2024-11-19 00:04:17
美国4b-付费节点,1,213,213B,2024-11-19 00:04:17
日本5b-付费节点,1,426,426B,2024-11-19 00:04:20
美国2b-付费节点,1,518612,506.46KB,2024-11-19 00:04:22
美国3a-付费节点,1,425937,415.95KB,2024-11-19 00:06:15
美国2b-付费节点,1,1343567,1.28MB,2024-11-19 00:07:23
美国3a-付费节点,1,308363,301.14KB,2024-11-19 00:09:16
美国2b-付费节点,1,1648582,1.57MB,2024-11-19 00:10:24
美国3a-付费节点,1,19245,18.79KB,2024-11-19 00:12:18
美国2b-付费节点,1,133156,130.04KB,2024-11-19 00:13:24
美国3a-付费节点,1,834676,815.11KB,2024-11-19 00:15:19
美国2b-付费节点,1,2874037,2.74MB,2024-11-19 00:16:26
美国3a-付费节点,1,9410,9.19KB,2024-11-19 00:18:20
美国2b-付费节点,1,10238,10KB,2024-11-19 00:19:26
美国2b-付费节点,1,54142,52.87KB,2024-11-19 00:31:29
美国3a-付费节点,1,164926,161.06KB,2024-11-19 00:33:25
美国3a-付费节点,1,32199,31.44KB,2024-11-19 00:36:26
美国2b-付费节点,1,29091,28.41KB,2024-11-19 00:37:31
美国2b-付费节点,1,11972042,11.42MB,2024-11-19 00:40:31
美国3a-付费节点,1,12128655,11.57MB,2024-11-19 00:42:28
美国2b-付费节点,1,609,609B,2024-11-19 00:43:32
美国3a-付费节点,1,18305588,17.46MB,2024-11-19 00:45:29
美国3a-付费节点,1,515241,503.17KB,2024-11-19 00:48:30
美国2b-付费节点,1,7102,6.94KB,2024-11-19 00:49:34
美国3a-付费节点,1,118287,115.51KB,2024-11-19 00:54:32
美国2b-付费节点,1,71699,70.02KB,2024-11-19 00:55:35
美国3a-付费节点,1,2171046,2.07MB,2024-11-19 00:57:34
美国2b-付费节点,1,392148,382.96KB,2024-11-19 00:58:36
美国3a-付费节点,1,20617464,19.66MB,2024-11-19 01:00:35
美国2b-付费节点,1,139308,136.04KB,2024-11-19 01:01:36
美国3a-付费节点,1,8082223,7.71MB,2024-11-19 01:03:36
美国2b-付费节点,1,15958024,15.22MB,2024-11-19 01:04:37
美国3a-付费节点,1,2311971,2.2MB,2024-11-19 01:06:37
美国2b-付费节点,1,15494217,14.78MB,2024-11-19 01:07:38
美国3a-付费节点,1,1554321,1.48MB,2024-11-19 01:09:38
美国2b-付费节点,1,25902659,24.7MB,2024-11-19 01:10:38
美国3a-付费节点,1,9306882,8.88MB,2024-11-19 01:12:39
美国2b-付费节点,1,5160345,4.92MB,2024-11-19 01:13:40
美国3a-付费节点,1,9009615,8.59MB,2024-11-19 01:15:40
美国2b-付费节点,1,9643,9.42KB,2024-11-19 01:16:40
美国3a-付费节点,1,262786,256.63KB,2024-11-19 01:18:41
美国2b-付费节点,1,162928,159.11KB,2024-11-19 01:19:41
美国3a-付费节点,1,3323041,3.17MB,2024-11-19 01:21:41
美国2b-付费节点,1,6341,6.19KB,2024-11-19 01:22:42
美国3a-付费节点,1,1347627,1.29MB,2024-11-19 01:24:43
美国3a-付费节点,1,3432344,3.27MB,2024-11-19 01:27:43
美国2b-付费节点,1,145276,141.87KB,2024-11-19 01:28:43
美国3a-付费节点,1,42662,41.66KB,2024-11-19 01:30:44
美国2b-付费节点,1,20442,19.96KB,2024-11-19 01:31:44
美国3a-付费节点,1,2981573,2.84MB,2024-11-19 01:33:45
美国2b-付费节点,1,3817891,3.64MB,2024-11-19 01:34:45
美国3a-付费节点,1,142201,138.87KB,2024-11-19 01:36:46
美国2b-付费节点,1,18629315,17.77MB,2024-11-19 01:37:46
美国3a-付费节点,1,59223,57.83KB,2024-11-19 01:39:47
美国2b-付费节点,1,24178457,23.06MB,2024-11-19 01:40:46
美国2b-付费节点,1,907,907B,2024-11-19 01:52:49
美国3a-付费节点,1,61914,60.46KB,2024-11-19 01:54:52
dny-越南a-付费节点,1,426,426B,2024-11-19 01:59:04
日本3a-付费节点,1,426,426B,2024-11-19 01:59:14
香港t3a-付费节点,1,426,426B,2024-11-19 01:59:15
台湾5a-付费节点,1,639,639B,2024-11-19 01:59:18
日本6a-付费节点,1,426,426B,2024-11-19 01:59:19
台湾4a-付费节点,1,639,639B,2024-11-19 01:59:42
eu-英国a-付费节点,1,426,426B,2024-11-19 01:59:44
eu-法国1b-付费节点,1,426,426B,2024-11-19 01:59:58
台湾3a-付费节点,1,213,213B,2024-11-19 01:59:58
eu-bt下载b-付费节点,1,426,426B,2024-11-19 02:00:02
新加坡3a-付费节点,1,426,426B,2024-11-19 02:00:03
美国1a-付费节点,1,213,213B,2024-11-19 02:00:03
新疆专用-香港t1,1,213,213B,2024-11-19 02:00:07
台湾1a-付费节点,1,426,426B,2024-11-19 02:00:08
香港g3b-付费节点,1,426,426B,2024-11-19 02:00:10
俄国a-付费节点,1,426,426B,2024-11-19 02:00:16
台湾2a-付费节点,1,213,213B,2024-11-19 02:00:17
新加坡2a-付费节点,1,426,426B,2024-11-19 02:00:17
