Time Period,美国3a-付费节点,eu-德国a-付费节点,2倍率-dny-马来西亚a-付费节点,阿根廷-付费节点,美国2a-gemini-付费节点,日本2a-gemini-付费节点,5倍率|游戏|香港g1-付费节点
Total Traffic,382.73,12064.42,14600.94,95.16,205.58,1525.67,493.96
2025-04-05 00:00,0.04,102.05,0.77,0.00,4.39,0.00,0.00
2025-04-05 03:00,0.07,4.63,0.00,0.00,5.02,0.00,0.00
2025-04-05 06:00,0.00,4.92,0.00,0.00,1.12,0.00,0.00
2025-04-05 09:00,112.83,463.09,7333.13,0.00,9.05,0.00,0.00
2025-04-05 12:00,1.47,254.79,2676.38,0.00,5.43,0.00,0.00
2025-04-05 15:00,12.91,123.46,6.16,0.00,3.75,0.00,0.00
2025-04-05 18:00,11.66,756.13,92.36,0.00,5.28,0.00,0.00
2025-04-05 21:00,3.00,681.66,2.74,0.00,5.62,0.00,0.00
2025-04-06 00:00,1.31,102.93,0.00,0.00,5.13,0.00,0.00
2025-04-06 03:00,1.26,3.31,0.00,0.00,1.49,0.00,0.00
2025-04-06 06:00,1.14,60.81,0.00,0.00,2.09,0.00,0.00
2025-04-06 09:00,68.63,182.44,404.41,0.00,8.48,0.00,0.00
2025-04-06 12:00,3.57,32.19,2835.02,0.00,6.91,0.00,0.00
2025-04-06 15:00,32.42,58.77,9.84,0.00,8.64,0.00,0.00
2025-04-06 18:00,3.82,56.56,0.00,0.00,6.31,0.00,0.00
2025-04-06 21:00,1.78,246.35,0.00,0.00,4.55,0.00,0.00
2025-04-07 00:00,3.24,30.96,0.00,0.00,55.45,0.00,0.00
2025-04-07 03:00,0.31,2.24,0.00,0.00,0.54,0.00,0.00
2025-04-07 06:00,0.21,2.02,0.00,0.00,0.47,0.00,0.00
2025-04-07 09:00,2.38,208.18,28.58,0.00,6.12,0.00,0.00
2025-04-07 12:00,9.34,99.14,0.00,0.00,0.96,279.36,0.00
2025-04-07 15:00,1.99,1053.19,0.00,0.00,4.92,865.93,0.00
2025-04-07 18:00,4.03,2564.09,0.00,0.00,7.24,0.00,0.00
2025-04-07 21:00,76.84,280.57,1211.55,95.16,7.16,0.00,493.83
2025-04-08 00:00,2.93,64.72,0.00,0.00,4.37,0.00,0.13
2025-04-08 03:00,0.18,0.72,0.00,0.00,0.30,0.00,0.00
2025-04-08 06:00,0.25,255.52,0.00,0.00,0.60,0.00,0.00
2025-04-08 09:00,4.55,1360.19,0.00,0.00,25.55,112.56,0.00
2025-04-08 12:00,0.43,1386.63,0.00,0.00,1.93,157.48,0.00
2025-04-08 15:00,19.70,1381.48,0.00,0.00,5.69,110.34,0.00
2025-04-08 18:00,0.44,240.68,0.00,0.00,1.02,0.00,0.00
